module,domain,name,license,has_qweb,has_data,application,hub_score,is_leaf,depends,category
event_barcode_mobile,other,Event Barcode in Mobile,OEEL-1,True,True,,0,Yes,"event_barcode,web_mobile",Mobile
event_enterprise,other,Events Organization Add-on,OEEL-1,False,True,,0,Yes,"event,web_cohort",Marketing
helpdesk,helpdesk,Helpdesk,OEEL-1,True,True,True,0,Yes,"base_setup,mail,utm,rating,web_tour,resource,portal,digest",Helpdesk
helpdesk_sale_timesheet,helpdesk,Sell Helpdesk Timesheet,EMPTY,False,True,,0,Yes,"helpdesk_timesheet,sale_timesheet",Hidden
helpdesk_timesheet,helpdesk,Helpdesk Timesheet,EMPTY,False,True,,0,Yes,"helpdesk,hr_timesheet",Helpdesk
hr_appraisal,hr,Appraisal,OEEL-1,False,True,True,0,Yes,"hr,calendar,survey",Human Resources
hr_contract_salary,hr,HR Contract Salary (Belgium),EMPTY,False,True,,0,Yes,"hr,website,hr_recruitment,l10n_be_hr_payroll_fleet,sign",Human Resource
hr_holidays_gantt,hr,Leaves Gantt,OEEL-1,False,True,,0,Yes,"hr_holidays,web_gantt",Human Resources
inter_company_rules,other,Inter Company Module for Sale/Purchase Orders and Invoices,OEEL-1,False,True,,0,Yes,"sale_management,purchase_stock,sale_stock",Productivity
iot,other,Internet of Things,EMPTY,False,True,True,0,Yes,"mail,web",Tools
