module,path,name,summary,version,category,depends,auto_install,application,license,has_qweb,has_data
inter_company_rules,addons/enterprise/inter_company_rules,Inter Company Module for Sale/Purchase Orders and Invoices,Intercompany SO/PO/INV rules,1.1,Productivity,"sale_management,purchase_stock,sale_stock",False,,OEEL-1,False,True
iot,addons/enterprise/iot,Internet of Things,Basic models and helpers to support Internet of Things.,,Tools,"mail,web",False,True,,False,True
l10n_ar_reports,addons/enterprise/l10n_ar_reports,Argentina - Accounting Reports,,1.1,Accounting,"l10n_ar,account_reports",True,,OEEL-1,False,True
l10n_at_reports,addons/enterprise/l10n_at_reports,Austria - Accounting,,1.0,Accounting,"l10n_at,account_reports",True,,OEEL-1,False,True
l10n_au_aba,addons/enterprise/l10n_au_aba,ABA Credit Transfer,Export payments as ABA Credit Transfer files,1.0,Accounting &amp; Finance,"account_batch_payment,l10n_au",True,,OEEL-1,False,True
l10n_au_reports,addons/enterprise/l10n_au_reports,Australian - Accounting Reports,,1.1,Accounting,"l10n_au,account_reports",True,,OEEL-1,False,True
l10n_be_coda,addons/enterprise/l10n_be_coda,Belgium - Import Bank CODA Statements,,2.1,Accounting,"account_accountant,l10n_be,account_bank_statement_import,base_iban",True,,OEEL-1,False,True
l10n_be_intrastat,addons/enterprise/l10n_be_intrastat,Belgian Intrastat Declaration,,,Accounting,"l10n_be,account_intrastat",True,,,False,True
l10n_be_intrastat_2019,addons/enterprise/l10n_be_intrastat_2019,Belgian Intrastat Declaration - Complement for 2019,,,Accounting,l10n_be_intrastat,True,,,False,True
l10n_be_reports,addons/enterprise/l10n_be_reports,Belgium - Accounting Reports,,1.1,Accounting,"l10n_be,account_reports",True,,OEEL-1,False,True
l10n_bo_reports,addons/enterprise/l10n_bo_reports,Bolivia - Accounting Reports,,1.1,Accounting,"l10n_bo,account_reports",True,,OEEL-1,False,True
l10n_br_reports,addons/enterprise/l10n_br_reports,Brazilian - Accounting Reports,,1.1,Accounting,"l10n_br,account_reports",True,,OEEL-1,False,True
l10n_ca_check_printing,addons/enterprise/l10n_ca_check_printing,Canadian Checks Layout,Print CA Checks,1.0,Accounting,"account_check_printing,l10n_ca",True,,OEEL-1,False,True
l10n_ch_reports,addons/enterprise/l10n_ch_reports,Switzerland - Accounting Reports,,1.1,Accounting,"l10n_ch,account_reports",True,,OEEL-1,False,True
l10n_cl_reports,addons/enterprise/l10n_cl_reports,Chile - Accounting Reports,,1.1,Accounting,"l10n_cl,account_reports",True,,OEEL-1,False,True
l10n_co_edi,addons/enterprise/l10n_co_edi,Electronic invoicing for Colombia with Carvajal,Colombian Localization for EDI documents,0.1,Accounting,"account,l10n_co",,,,False,True
l10n_co_reports,addons/enterprise/l10n_co_reports,Colombian - Accounting Reports,,1.1,Accounting,"l10n_co,account_reports",True,,OEEL-1,False,True
l10n_de_reports,addons/enterprise/l10n_de_reports,Germany - Accounting Reports,,1.1,Accounting,"l10n_de,account_reports",True,,OEEL-1,False,True
l10n_do_reports,addons/enterprise/l10n_do_reports,Dominican Republic - Accounting,,1.0,Accounting,"l10n_do,account_reports",True,,OEEL-1,False,True
l10n_es_real_estates,addons/enterprise/l10n_es_real_estates,l10n_es_real_estates,,0.1,Accounting,l10n_es_reports,,,,False,True
l10n_es_reports,addons/enterprise/l10n_es_reports,Spain - Accounting (PGCE 2008) Reports,,4.1,Accounting,"l10n_es,account_reports",True,,OEEL-1,False,True
l10n_et_reports,addons/enterprise/l10n_et_reports,Ethiopia - Accounting Reports,,1.1,Accounting,"l10n_et,account_reports",True,,OEEL-1,False,True
l10n_fr_reports,addons/enterprise/l10n_fr_reports,France - Accounting Reports,,1.1,Accounting,"l10n_fr,account_reports",True,,OEEL-1,False,True
l10n_gr_reports,addons/enterprise/l10n_gr_reports,Greece - Accounting Reports,,1.1,Accounting,"l10n_gr,account_reports",True,,OEEL-1,False,True
l10n_hr_reports,addons/enterprise/l10n_hr_reports,Croatia - RRIF 2012 COA - Accounting Reports,,1.1,Accounting,"l10n_hr,account_reports",True,,OEEL-1,False,True
l10n_hu_reports,addons/enterprise/l10n_hu_reports,Hungarian - Accounting Reports,,1.1,Accounting,"l10n_hu,account_reports",True,,OEEL-1,False,True
l10n_in_reports,addons/enterprise/l10n_in_reports,Indian - Accounting Reports,,1.1,Accounting,"l10n_in,account_reports",True,,OEEL-1,False,True
l10n_jp_reports,addons/enterprise/l10n_jp_reports,Japan - Accounting Reports,,1.1,Accounting,"l10n_jp,account_reports",True,,OEEL-1,False,True
l10n_lu_reports,addons/enterprise/l10n_lu_reports,Luxembourg - Accounting Reports,,1.1,Accounting,"l10n_lu,account_reports",True,,OEEL-1,False,True
l10n_ma_reports,addons/enterprise/l10n_ma_reports,Maroc - Accounting Reports,,1.1,Accounting,"l10n_ma,account_reports",True,,OEEL-1,False,True
l10n_mx_edi,addons/enterprise/l10n_mx_edi,EDI for Mexico,Mexican Localization for EDI documents,0.1,Hidden,"account,account_cancel,base_vat,base_address_extended,document,base_address_city",False,,,False,True
l10n_mx_edi_customs,addons/enterprise/l10n_mx_edi_customs,Odoo Mexico Localization for Invoice with customs Number,"
        Generate Electronic Invoice with Customs Number
    ",0.1,Hidden,l10n_mx_edi,,,OEEL-1,False,True
l10n_mx_edi_external_trade,addons/enterprise/l10n_mx_edi_external_trade,EDI External Trade Complement for Mexico,External Trade Complement for the Mexican localization,0.1,Hidden,l10n_mx_edi,False,,,False,True
l10n_mx_edi_landing,addons/enterprise/l10n_mx_edi_landing,Odoo Mexico Localization for Stock/Landing,"
        Generate Electronic Invoice with Customs Number
    ",11.0.1.0.0,Hidden,"stock_landed_costs,sale_management,l10n_mx_edi_customs",,,,False,True
l10n_mx_edi_payment,addons/enterprise/l10n_mx_edi_payment,EDI Payment,Mexican Localization for EDI documents,0.1,Hidden,l10n_mx_edi,True,,,False,False
l10n_mx_edi_payment_bank,addons/enterprise/l10n_mx_edi_payment_bank,Bank account payment to Mexico,Bank account in the payments,0.1,Hidden,l10n_mx_edi,True,,,False,True
l10n_mx_reports,addons/enterprise/l10n_mx_reports,Odoo Mexican Localization Reports,"
        Electronic accounting reports
            - COA
            - Trial Balance
        DIOT Report
    ",10.0.1.0.0,Accounting,"account_reports,l10n_mx",True,,OEEL-1,False,True
